"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	56145	Suppressed
	"Baldwin County, AL"	"01003"	51	229287	22.2
	"Barbour County, AL"	"01005"	Suppressed	24589	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22136	Suppressed
	"Blount County, AL"	"01009"	13	57879	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	9976	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19504	Suppressed
	"Calhoun County, AL"	"01015"	28	113469	24.7
	"Chambers County, AL"	"01017"	Suppressed	32865	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26294	Suppressed
	"Chilton County, AL"	"01021"	11	44397	Unreliable
	"Choctaw County, AL"	"01023"	Suppressed	12418	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	23291	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13112	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14967	Suppressed
	"Coffee County, AL"	"01031"	13	53230	Unreliable
	"Colbert County, AL"	"01033"	Suppressed	55411	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	11851	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10650	Suppressed
	"Covington County, AL"	"01039"	10	36930	Unreliable
	"Crenshaw County, AL"	"01041"	Suppressed	13681	Suppressed
	"Cullman County, AL"	"01043"	21	84515	24.8
	"Dale County, AL"	"01045"	11	48959	Unreliable
	"Dallas County, AL"	"01047"	Suppressed	36098	Suppressed
	"DeKalb County, AL"	"01049"	15	71658	Unreliable
	"Elmore County, AL"	"01051"	16	82158	Unreliable
	"Escambia County, AL"	"01053"	Suppressed	36281	Suppressed
	"Etowah County, AL"	"01055"	24	102371	23.4
	"Fayette County, AL"	"01057"	Suppressed	16241	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31507	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26411	Suppressed
	"Greene County, AL"	"01063"	Suppressed	7990	Suppressed
	"Hale County, AL"	"01065"	Suppressed	14670	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17223	Suppressed
	"Houston County, AL"	"01069"	16	106580	Unreliable
	"Jackson County, AL"	"01071"	Suppressed	51582	Suppressed
	"Jefferson County, AL"	"01073"	83	655342	12.7
	"Lamar County, AL"	"01075"	Suppressed	13764	Suppressed
	"Lauderdale County, AL"	"01077"	19	93368	Unreliable
	"Lawrence County, AL"	"01079"	Suppressed	32857	Suppressed
	"Lee County, AL"	"01081"	21	166831	12.6
	"Limestone County, AL"	"01083"	15	102228	Unreliable
	"Lowndes County, AL"	"01085"	Suppressed	9641	Suppressed
	"Macon County, AL"	"01087"	Suppressed	17895	Suppressed
	"Madison County, AL"	"01089"	54	379453	14.2
	"Marengo County, AL"	"01091"	Suppressed	18733	Suppressed
	"Marion County, AL"	"01093"	Suppressed	29703	Suppressed
	"Marshall County, AL"	"01095"	23	96990	23.7
	"Mobile County, AL"	"01097"	55	412716	13.3
	"Monroe County, AL"	"01099"	Suppressed	20459	Suppressed
	"Montgomery County, AL"	"01101"	22	224639	9.8
	"Morgan County, AL"	"01103"	22	119883	18.4
	"Perry County, AL"	"01105"	Suppressed	8687	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19793	Suppressed
	"Pike County, AL"	"01109"	Suppressed	32966	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22920	Suppressed
	"Russell County, AL"	"01113"	12	58237	Unreliable
	"St. Clair County, AL"	"01115"	13	90739	Unreliable
	"Shelby County, AL"	"01117"	30	221428	13.5
	"Sumter County, AL"	"01119"	Suppressed	12225	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	79985	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	40133	Suppressed
	"Tuscaloosa County, AL"	"01125"	27	210758	12.8
	"Walker County, AL"	"01127"	10	63143	Unreliable
	"Washington County, AL"	"01129"	Suppressed	15976	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	10206	Suppressed
	"Winston County, AL"	"01133"	Suppressed	23508	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3401	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5680	Suppressed
	"Anchorage Borough, AK"	"02020"	70	287095	24.4
	"Bethel Census Area, AK"	"02050"	12	18437	Unreliable
	"Bristol Bay Borough, AK"	"02060"	Suppressed	788	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	2081	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4833	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	18	95651	Unreliable
	"Haines Borough, AK"	"02100"	Suppressed	2614	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	2141	Suppressed
	"Juneau Borough, AK"	"02110"	Suppressed	31849	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	18	59414	Unreliable
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13747	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	12992	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1493	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	32	110213	29.0
	"Nome Census Area, AK"	"02180"	13	9909	Unreliable
	"North Slope Borough, AK"	"02185"	Suppressed	9294	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7644	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	3296	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	6147	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	8405	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	1179	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6957	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	Suppressed	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	12	8328	Unreliable
	"Wrangell City and Borough, AK"	"02275"	Suppressed	2510	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	637	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5077	Suppressed
	"Apache County, AZ"	"04001"	30	71875	41.7
	"Cochise County, AZ"	"04003"	31	127450	24.3
	"Coconino County, AZ"	"04005"	40	142481	28.1
	"Gila County, AZ"	"04007"	19	54303	Unreliable
	"Graham County, AZ"	"04009"	Suppressed	39211	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	9341	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	21480	Suppressed
	"Maricopa County, AZ"	"04013"	716	4579081	15.6
	"Mohave County, AZ"	"04015"	73	217206	33.6
	"Navajo County, AZ"	"04017"	42	112112	37.5
	"Pima County, AZ"	"04019"	224	1061175	21.1
	"Pinal County, AZ"	"04021"	68	480828	14.1
	"Santa Cruz County, AZ"	"04023"	Suppressed	46808	Suppressed
	"Yavapai County, AZ"	"04025"	81	240226	33.7
	"Yuma County, AZ"	"04027"	22	217824	10.1
	"Arkansas County, AR"	"05001"	Suppressed	17383	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	19339	Suppressed
	"Baxter County, AR"	"05005"	19	42242	Unreliable
	"Benton County, AR"	"05007"	37	288774	12.8
	"Boone County, AR"	"05009"	Suppressed	37625	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	10639	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5113	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	28276	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	9924	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22103	Suppressed
	"Clay County, AR"	"05021"	Suppressed	14375	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	24935	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	7957	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	23331	Suppressed
	"Conway County, AR"	"05029"	Suppressed	21037	Suppressed
	"Craighead County, AR"	"05031"	17	112245	Unreliable
	"Crawford County, AR"	"05033"	18	63409	Unreliable
	"Crittenden County, AR"	"05035"	Suppressed	47616	Suppressed
	"Cross County, AR"	"05037"	Suppressed	16142	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	6802	Suppressed
	"Desha County, AR"	"05041"	Suppressed	11110	Suppressed
	"Drew County, AR"	"05043"	Suppressed	17977	Suppressed
	"Faulkner County, AR"	"05045"	18	126919	Unreliable
